"l","SSE"
"1",-3,21.2596468663921
"2",-2.99,21.1653854711831
"3",-2.98,21.0715066964199
"4",-2.97,20.978009870968
"5",-2.96,20.8848943297558
"6",-2.95,20.7921594135848
"7",-2.94,20.6998044692445
"8",-2.93,20.6078288494793
"9",-2.92,20.5162319129701
"10",-2.91,20.4250130243496
"11",-2.9,20.3341715542147
"12",-2.89,20.2437068791128
"13",-2.88,20.1536183815084
"14",-2.87,20.0639054498827
"15",-2.86,19.9745674785815
"16",-2.85,19.8856038680059
"17",-2.84,19.7970140243642
"18",-2.83,19.7087973599885
"19",-2.82,19.6209532930091
"20",-2.81,19.5334812476148
"21",-2.8,19.4463806538969
"22",-2.79,19.3596509479166
"23",-2.78,19.2732915716916
"24",-2.77,19.1873019731901
"25",-2.76,19.1016816063429
"26",-2.75,19.0164299310405
"27",-2.74,18.9315464131528
"28",-2.73,18.8470305244827
"29",-2.72,18.7628817428336
"30",-2.71,18.6790995519292
"31",-2.7,18.5956834415024
"32",-2.69,18.5126329072669
"33",-2.68,18.4299474508706
"34",-2.67,18.3476265799661
"35",-2.66,18.2656698081998
"36",-2.65,18.1840766551585
"37",-2.64,18.102846646445
"38",-2.63,18.0219793136588
"39",-2.62,17.9414741943687
"40",-2.61,17.8613308321439
"41",-2.6,17.7815487765733
"42",-2.59,17.7021275832388
"43",-2.58,17.6230668137076
"44",-2.57,17.5443660355956
"45",-2.56,17.4660248225039
"46",-2.55,17.3880427540676
"47",-2.54,17.3104194159391
"48",-2.53,17.233154399805
"49",-2.52,17.156247303378
"50",-2.51,17.0796977304144
"51",-2.5,17.0035052907114
"52",-2.49,16.9276696001123
"53",-2.48,16.8521902805161
"54",-2.47,16.7770669598821
"55",-2.46,16.7022992722172
"56",-2.45,16.6278868576212
"57",-2.44,16.5538293622567
"58",-2.43,16.4801264383685
"59",-2.42,16.4067777442793
"60",-2.41,16.3337829444302
"61",-2.4,16.2611417093345
"62",-2.39,16.1888537156248
"63",-2.38,16.1169186460496
"64",-2.37,16.0453361894641
"65",-2.36,15.9741060408725
"66",-2.35,15.9032279013846
"67",-2.34,15.8327014782692
"68",-2.33,15.7625264849404
"69",-2.32,15.6927026409592
"70",-2.31,15.6232296720698
"71",-2.3,15.5541073101656
"72",-2.29,15.4853352933293
"73",-2.28,15.4169133658322
"74",-2.27,15.3488412781274
"75",-2.26,15.281118786897
"76",-2.25,15.2137456550167
"77",-2.24,15.1467216515842
"78",-2.23,15.0800465519317
"79",-2.22,15.0137201376296
"80",-2.21,14.9477421965033
"81",-2.2,14.8821125226192
"82",-2.19,14.8168309163271
"83",-2.18,14.75189718424
"84",-2.17,14.6873111392682
"85",-2.16,14.6230726006144
"86",-2.15,14.5591813937833
"87",-2.14,14.4956373506048
"88",-2.13,14.4324403092299
"89",-2.12,14.3695901141461
"90",-2.11,14.3070866161958
"91",-2.1,14.2449296725737
"92",-2.09,14.1831191468503
"93",-2.08,14.1216549089775
"94",-2.07,14.0605368352933
"95",-2.06,13.9997648085477
"96",-2.05,13.9393387179047
"97",-2.04,13.8792584589555
"98",-2.03,13.8195239337324
"99",-2.02,13.7601350507217
"100",-2.01,13.7010917248669
"101",-2,13.6423938775996
"102",-1.99,13.5840414368331
"103",-1.98,13.5260343369875
"104",-1.97,13.4683725189979
"105",-1.96,13.4110559303267
"106",-1.95,13.3540845249831
"107",-1.94,13.2974582635257
"108",-1.93,13.2411771130877
"109",-1.92,13.1852410473864
"110",-1.91,13.1296500467318
"111",-1.9,13.0744040980506
"112",-1.89,13.0195031948935
"113",-1.88,12.9649473374519
"114",-1.87,12.9107365325741
"115",-1.86,12.8568707937771
"116",-1.85,12.8033501412663
"117",-1.84,12.7501746019446
"118",-1.83,12.6973442094333
"119",-1.82,12.6448590040849
"120",-1.81,12.5927190330018
"121",-1.8,12.5409243500449
"122",-1.79,12.4894750158619
"123",-1.78,12.4383710978929
"124",-1.77,12.3876126703909
"125",-1.76,12.3371998144404
"126",-1.75,12.287132617971
"127",-1.74,12.237411175776
"128",-1.73,12.18803558953
"129",-1.72,12.1390059678073
"130",-1.71,12.0903224260962
"131",-1.7,12.0419850868189
"132",-1.69,11.9939940793532
"133",-1.68,11.9463495400422
"134",-1.67,11.8990516122209
"135",-1.66,11.8521004462304
"136",-1.65,11.8054961994374
"137",-1.64,11.7592390362556
"138",-1.63,11.7133291281613
"139",-1.62,11.6677666537143
"140",-1.61,11.6225517985792
"141",-1.6,11.5776847555429
"142",-1.59,11.5331657245338
"143",-1.58,11.4889949126463
"144",-1.57,11.4451725341561
"145",-1.56,11.4016988105443
"146",-1.55,11.3585739705161
"147",-1.54,11.3157982500243
"148",-1.53,11.2733718922869
"149",-1.52,11.2312951478121
"150",-1.51,11.1895682744165
"151",-1.5,11.1481915372511
"152",-1.49,11.1071652088181
"153",-1.48,11.0664895689984
"154",-1.47,11.0261649050695
"155",-1.46,10.986191511732
"156",-1.45,10.9465696911297
"157",-1.44,10.9072997528735
"158",-1.43,10.8683820140655
"159",-1.42,10.8298167993222
"160",-1.41,10.7916044407958
"161",-1.4,10.7537452782035
"162",-1.39,10.7162396588447
"163",-1.38,10.6790879376315
"164",-1.37,10.6422904771107
"165",-1.36,10.6058476474873
"166",-1.35,10.5697598266529
"167",-1.34,10.5340274002072
"168",-1.33,10.4986507614859
"169",-1.32,10.4636303115878
"170",-1.31,10.4289664593952
"171",-1.3,10.3946596216068
"172",-1.29,10.3607102227586
"173",-1.28,10.3271186952549
"174",-1.27,10.2938854793919
"175",-1.26,10.2610110233861
"176",-1.25,10.2284957834024
"177",-1.24,10.1963402235792
"178",-1.23,10.1645448160592
"179",-1.22,10.1331100410157
"180",-1.21,10.102036386681
"181",-1.2,10.071324349375
"182",-1.19,10.0409744335345
"183",-1.18,10.0109871517413
"184",-1.17,9.98136302475217
"185",-1.16,9.95210258152819
"186",-1.15,9.92320635926382
"187",-1.14,9.89467490341783
"188",-1.13,9.86650876774304
"189",-1.12,9.83870851431632
"190",-1.11,9.81127471357081
"191",-1.1,9.78420794432541
"192",-1.09,9.75750879381619
"193",-1.08,9.73117785772868
"194",-1.07,9.70521574022889
"195",-1.06,9.67962305399598
"196",-1.05,9.65440042025329
"197",-1.04,9.62954846880276
"198",-1.03,9.60506783805553
"199",-1.02,9.58095917506701
"200",-1.01,9.55722313556833
